file,n_rows,model,config,test_set,split
CodeGPT_dpo_inference_cleaned.jsonl,100,CodeGPT,dpo,dpo,
CodeGPT_dpo_inference_test_insecure_cleaned.jsonl,600,CodeGPT,dpo,ppo,insecure
CodeGPT_dpo_inference_test_secure_cleaned.jsonl,600,CodeGPT,dpo,ppo,secure
CodeGen_dpo_inference_cleaned.jsonl,100,CodeGen,dpo,dpo,
CodeGen_dpo_inference_test_insecure_cleaned.jsonl,600,CodeGen,dpo,ppo,insecure
CodeGen_dpo_inference_test_secure_cleaned.jsonl,600,CodeGen,dpo,ppo,secure
DeepSeek_dpo_inference_cleaned.jsonl,100,DeepSeek,dpo,dpo,
DeepSeek_dpo_inference_test_insecure_cleaned.jsonl,600,DeepSeek,dpo,ppo,insecure
DeepSeek_dpo_inference_test_secure_cleaned.jsonl,600,DeepSeek,dpo,ppo,secure
QwenCoder_dpo_inference_cleaned.jsonl,100,QwenCoder,dpo,dpo,
QwenCoder_dpo_inference_test_insecure_cleaned.jsonl,600,QwenCoder,dpo,ppo,insecure
QwenCoder_dpo_inference_test_secure_cleaned.jsonl,600,QwenCoder,dpo,ppo,secure
CodeGPT_ppo_inference_custom_pylint_cleaned.jsonl,100,CodeGPT,ppo_Rcp,dpo,
CodeGPT_ppo_inference_custom_semgrep_cleaned.jsonl,100,CodeGPT,ppo_Rcs,dpo,
CodeGPT_ppo_inference_pylint_cleaned.jsonl,100,CodeGPT,ppo_Rp,dpo,
CodeGPT_ppo_inference_semgrep_cleaned.jsonl,100,CodeGPT,ppo_Rs,dpo,
CodeGPT_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,CodeGPT,ppo_Rcp,ppo,insecure
CodeGPT_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,CodeGPT,ppo_Rcs,ppo,insecure
CodeGPT_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,CodeGPT,ppo_Rp,ppo,insecure
CodeGPT_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,CodeGPT,ppo_Rs,ppo,insecure
CodeGPT_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,CodeGPT,ppo_Rcp,ppo,secure
CodeGPT_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,CodeGPT,ppo_Rcs,ppo,secure
CodeGPT_ppo_inference_test_secure_pylint_cleaned.jsonl,600,CodeGPT,ppo_Rp,ppo,secure
CodeGPT_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,CodeGPT,ppo_Rs,ppo,secure
CodeGen_ppo_inference_custom_pylint_cleaned.jsonl,100,CodeGen,ppo_Rcp,dpo,
CodeGen_ppo_inference_custom_semgrep_cleaned.jsonl,100,CodeGen,ppo_Rcs,dpo,
CodeGen_ppo_inference_pylint_cleaned.jsonl,100,CodeGen,ppo_Rp,dpo,
CodeGen_ppo_inference_semgrep_cleaned.jsonl,100,CodeGen,ppo_Rs,dpo,
CodeGen_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,CodeGen,ppo_Rcp,ppo,insecure
CodeGen_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,CodeGen,ppo_Rcs,ppo,insecure
CodeGen_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,CodeGen,ppo_Rp,ppo,insecure
CodeGen_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,CodeGen,ppo_Rs,ppo,insecure
CodeGen_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,CodeGen,ppo_Rcp,ppo,secure
CodeGen_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,CodeGen,ppo_Rcs,ppo,secure
CodeGen_ppo_inference_test_secure_pylint_cleaned.jsonl,600,CodeGen,ppo_Rp,ppo,secure
CodeGen_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,CodeGen,ppo_Rs,ppo,secure
DeepSeek_ppo_inference_custom_pylint_cleaned.jsonl,100,DeepSeek,ppo_Rcp,dpo,
DeepSeek_ppo_inference_custom_semgrep_cleaned.jsonl,100,DeepSeek,ppo_Rcs,dpo,
DeepSeek_ppo_inference_pylint_cleaned.jsonl,100,DeepSeek,ppo_Rp,dpo,
DeepSeek_ppo_inference_semgrep_cleaned.jsonl,100,DeepSeek,ppo_Rs,dpo,
DeepSeek_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,DeepSeek,ppo_Rcp,ppo,insecure
DeepSeek_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,DeepSeek,ppo_Rcs,ppo,insecure
DeepSeek_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,DeepSeek,ppo_Rp,ppo,insecure
DeepSeek_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,DeepSeek,ppo_Rs,ppo,insecure
DeepSeek_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,DeepSeek,ppo_Rcp,ppo,secure
DeepSeek_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,DeepSeek,ppo_Rcs,ppo,secure
DeepSeek_ppo_inference_test_secure_pylint_cleaned.jsonl,600,DeepSeek,ppo_Rp,ppo,secure
DeepSeek_ppo_inference_test_secure_semgrep_cleaned.jsonl,600,DeepSeek,ppo_Rs,ppo,secure
QwenCoder_ppo_inference_custom_pylint_cleaned.jsonl,100,QwenCoder,ppo_Rcp,dpo,
QwenCoder_ppo_inference_custom_semgrep_cleaned.jsonl,100,QwenCoder,ppo_Rcs,dpo,
QwenCoder_ppo_inference_pylint_cleaned.jsonl,100,QwenCoder,ppo_Rp,dpo,
QwenCoder_ppo_inference_semgrep_cleaned.jsonl,100,QwenCoder,ppo_Rs,dpo,
QwenCoder_ppo_inference_test_insecure_custom_pylint_cleaned.jsonl,600,QwenCoder,ppo_Rcp,ppo,insecure
QwenCoder_ppo_inference_test_insecure_custom_semgrep_cleaned.jsonl,600,QwenCoder,ppo_Rcs,ppo,insecure
QwenCoder_ppo_inference_test_insecure_pylint_cleaned.jsonl,600,QwenCoder,ppo_Rp,ppo,insecure
QwenCoder_ppo_inference_test_insecure_semgrep_cleaned.jsonl,600,QwenCoder,ppo_Rs,ppo,insecure
QwenCoder_ppo_inference_test_secure_custom_pylint_cleaned.jsonl,600,QwenCoder,ppo_Rcp,ppo,secure
QwenCoder_ppo_inference_test_secure_custom_semgrep_cleaned.jsonl,600,QwenCoder,ppo_Rcs,ppo,secure
