========================================================================
ERROR BREAKDOWN (percentages of the total):
    model      config test_set  empty  prompt_echo  truncation_suspect  syntax_error  error_total  valid
  CodeGPT         dpo      dpo    0.0          0.0                82.0          14.0         96.0    4.0
  CodeGPT         dpo      ppo    2.2          0.9                74.8          16.8         94.7    5.3
  CodeGPT     ppo_Rcp      dpo    0.0          1.0                86.0          13.0        100.0    0.0
  CodeGPT     ppo_Rcp      ppo    0.2          0.7                78.1          18.8         97.8    2.2
  CodeGPT     ppo_Rcs      dpo    0.0          1.0                91.0           6.0         98.0    2.0
  CodeGPT     ppo_Rcs      ppo    0.0          0.8                80.9          16.6         98.3    1.8
  CodeGPT      ppo_Rp      dpo    0.0          1.0                85.0          11.0         97.0    3.0
  CodeGPT      ppo_Rp      ppo    0.1          0.7                78.8          19.2         98.8    1.2
  CodeGPT      ppo_Rs      dpo    0.0          0.0                85.0          14.0         99.0    1.0
  CodeGPT      ppo_Rs      ppo    0.0          0.8                80.1          16.7         97.6    2.5
  CodeGPT  pretrained      dpo    0.0          0.0                89.0          10.0         99.0    1.0
  CodeGPT  pretrained      ppo    2.6          0.8                66.8          23.0         93.2    6.8
  CodeGPT         sft      dpo    0.0          1.0                93.0           6.0        100.0    0.0
  CodeGPT         sft      ppo    0.0          0.3                68.7          30.8         99.8    0.2
  CodeGPT     sft_dpo      dpo    0.0          1.0                83.0          16.0        100.0    0.0
  CodeGPT     sft_dpo      ppo    0.0          0.2                65.8          34.0        100.0    0.0
  CodeGPT sft_ppo_Rcp      dpo    0.0          1.0                84.0          15.0        100.0    0.0
  CodeGPT sft_ppo_Rcp      ppo    0.0          0.8                83.6          15.6        100.0    0.0
  CodeGPT sft_ppo_Rcs      dpo    0.0          0.0                35.0          65.0        100.0    0.0
  CodeGPT sft_ppo_Rcs      ppo    1.8          0.4                25.6          67.8         95.6    4.4
  CodeGPT  sft_ppo_Rp      dpo    0.0          0.0                71.0          29.0        100.0    0.0
  CodeGPT  sft_ppo_Rp      ppo    0.0          1.2                67.1          31.7        100.0    0.0
  CodeGPT  sft_ppo_Rs      dpo    0.0          0.0                82.0          16.0         98.0    2.0
  CodeGPT  sft_ppo_Rs      ppo    0.0          0.9                69.2          28.4         98.5    1.4
  CodeGen         dpo      dpo    0.0          3.0                57.0          36.0         96.0    4.0
  CodeGen         dpo      ppo    0.6          6.8                28.2          41.4         77.0   23.0
  CodeGen     ppo_Rcp      dpo    0.0          1.0                74.0          24.0         99.0    1.0
  CodeGen     ppo_Rcp      ppo    0.0          0.9                72.6          25.9         99.4    0.6
  CodeGen     ppo_Rcs      dpo    0.0          1.0                80.0          17.0         98.0    2.0
  CodeGen     ppo_Rcs      ppo    0.0          3.3                71.0          16.6         90.9    9.1
  CodeGen      ppo_Rp      dpo    0.0          0.0                28.0          69.0         97.0    3.0
  CodeGen      ppo_Rp      ppo    0.1          1.1                17.8          57.9         76.9   23.1
  CodeGen      ppo_Rs      dpo    0.0          1.0                73.0          14.0         88.0   12.0
  CodeGen      ppo_Rs      ppo    0.0          0.8                57.4          24.6         82.8   17.2
  CodeGen  pretrained      dpo    0.0          0.0                60.0          38.0         98.0    2.0
  CodeGen  pretrained      ppo    2.1          1.2                48.4          28.0         79.7   20.2
  CodeGen         sft      dpo    0.0          1.0                53.0          31.0         85.0   15.0
  CodeGen         sft      ppo    0.3          1.2                68.7          20.2         90.4    9.6
  CodeGen     sft_dpo      dpo    0.0          0.0                57.0          35.0         92.0    8.0
  CodeGen     sft_dpo      ppo    0.0          0.1                36.3          39.2         75.6   24.4
  CodeGen sft_ppo_Rcp      dpo    0.0          0.0                45.0          49.0         94.0    6.0
  CodeGen sft_ppo_Rcp      ppo    0.0          0.8                46.9          48.2         95.9    4.0
  CodeGen sft_ppo_Rcs      dpo    0.0          0.0                52.0          40.0         92.0    8.0
  CodeGen sft_ppo_Rcs      ppo    0.2          0.8                50.7          41.1         92.8    7.2
  CodeGen  sft_ppo_Rp      dpo    0.0          1.0                37.0          62.0        100.0    0.0
  CodeGen  sft_ppo_Rp      ppo    0.0          1.0                40.2          58.7         99.9    0.1
  CodeGen  sft_ppo_Rs      dpo    0.0          4.0                72.0          22.0         98.0    2.0
  CodeGen  sft_ppo_Rs      ppo    0.0          0.7                49.1          47.8         97.6    2.4
 DeepSeek         dpo      dpo    1.0          0.0                14.0          20.0         35.0   65.0
 DeepSeek         dpo      ppo    6.6          1.0                22.9          25.4         55.9   44.1
